,aal_atlas_0,aal_atlas_1,aal_atlas_2,aal_atlas_3,aal_atlas_4,aal_atlas_5,aal_atlas_6,aal_atlas_7,aal_atlas_8,aal_atlas_9,aal_atlas_10,aal_atlas_11,aal_atlas_12,aal_atlas_13,aal_atlas_14,aal_atlas_15,aal_atlas_16,aal_atlas_17,aal_atlas_18,aal_atlas_19,aal_atlas_20,aal_atlas_21,aal_atlas_22,aal_atlas_23,aal_atlas_24,aal_atlas_25,aal_atlas_26,aal_atlas_27,aal_atlas_28,aal_atlas_29,aal_atlas_30,aal_atlas_31,aal_atlas_32,aal_atlas_33,aal_atlas_34,aal_atlas_35,aal_atlas_36,aal_atlas_37,aal_atlas_38,aal_atlas_39,aal_atlas_40,aal_atlas_41,aal_atlas_42,aal_atlas_43,aal_atlas_44,aal_atlas_45,aal_atlas_46,aal_atlas_47,aal_atlas_48,aal_atlas_49,aal_atlas_50,aal_atlas_51,aal_atlas_52,aal_atlas_53,aal_atlas_54,aal_atlas_55,aal_atlas_56,aal_atlas_57,aal_atlas_58,aal_atlas_59,aal_atlas_60,aal_atlas_61,aal_atlas_62,aal_atlas_63,aal_atlas_64,aal_atlas_65,aal_atlas_66,aal_atlas_67,aal_atlas_68,aal_atlas_69,aal_atlas_70,aal_atlas_71,aal_atlas_72,aal_atlas_73,aal_atlas_74,aal_atlas_75,aal_atlas_76,aal_atlas_77,aal_atlas_78,aal_atlas_79,aal_atlas_80,aal_atlas_81,aal_atlas_82,aal_atlas_83,aal_atlas_84,aal_atlas_85,aal_atlas_86,aal_atlas_87,aal_atlas_88,aal_atlas_89,aal_atlas_90,aal_atlas_91,aal_atlas_92,aal_atlas_93,aal_atlas_94,aal_atlas_95,aal_atlas_96,aal_atlas_97,aal_atlas_98,aal_atlas_99,aal_atlas_100,aal_atlas_101,aal_atlas_102,aal_atlas_103,aal_atlas_104,aal_atlas_105,aal_atlas_106,aal_atlas_107,aal_atlas_108,aal_atlas_109,aal_atlas_110,aal_atlas_111,aal_atlas_112,aal_atlas_113,aal_atlas_114,aal_atlas_115,aal_atlas_116
aal_atlas_0,0.0,30.0,35.0,18.0,29.0,24.0,24.0,21.0,27.0,23.0,32.0,20.0,31.0,20.0,28.0,21.0,25.0,31.0,29.0,37.0,30.0,31.0,33.0,26.0,25.0,27.0,29.0,30.0,31.0,17.0,29.0,26.0,31.0,31.0,33.0,34.0,38.0,31.0,40.0,23.0,31.0,24.0,30.0,38.0,35.0,40.0,33.0,37.0,34.0,41.0,31.0,34.0,29.0,31.0,32.0,25.0,19.0,39.0,40.0,37.0,39.0,37.0,35.0,35.0,28.0,35.0,30.0,36.0,33.0,37.0,40.0,38.0,37.0,28.0,30.0,28.0,25.0,34.0,36.0,33.0,37.0,31.0,29.0,30.0,33.0,30.0,27.0,24.0,33.0,25.0,24.0,24.0,23.0,19.0,20.0,33.0,35.0,34.0,30.0,28.0,29.0,19.0,22.0,18.0,20.0,35.0,29.0,28.0,27.0,29.0,37.0,36.0,34.0,33.0,35.0,34.0,34.0
aal_atlas_1,30.0,0.0,23.0,24.0,31.0,36.0,34.0,19.0,35.0,29.0,44.0,18.0,37.0,22.0,36.0,31.0,39.0,17.0,35.0,19.0,22.0,49.0,47.0,26.0,31.0,41.0,39.0,44.0,41.0,21.0,35.0,38.0,39.0,33.0,47.0,36.0,54.0,45.0,54.0,39.0,45.0,36.0,48.0,26.0,37.0,22.0,25.0,27.0,34.0,25.0,25.0,22.0,31.0,23.0,30.0,35.0,33.0,11.0,24.0,21.0,27.0,17.0,27.0,19.0,34.0,25.0,30.0,24.0,29.0,17.0,26.0,50.0,51.0,34.0,42.0,42.0,41.0,40.0,48.0,23.0,37.0,19.0,33.0,38.0,45.0,30.0,35.0,42.0,45.0,35.0,36.0,30.0,25.0,31.0,28.0,43.0,35.0,30.0,28.0,26.0,25.0,33.0,30.0,30.0,28.0,41.0,35.0,38.0,35.0,43.0,39.0,30.0,26.0,29.0,31.0,40.0,42.0
aal_atlas_2,35.0,23.0,0.0,29.0,24.0,41.0,35.0,32.0,18.0,36.0,35.0,31.0,18.0,35.0,17.0,38.0,26.0,28.0,14.0,24.0,19.0,48.0,42.0,29.0,26.0,38.0,38.0,41.0,42.0,34.0,18.0,35.0,34.0,32.0,34.0,35.0,45.0,46.0,47.0,40.0,42.0,39.0,41.0,27.0,24.0,29.0,20.0,32.0,23.0,32.0,14.0,27.0,18.0,30.0,25.0,38.0,30.0,30.0,5.0,26.0,14.0,30.0,16.0,34.0,15.0,32.0,19.0,27.0,20.0,28.0,21.0,47.0,44.0,41.0,23.0,41.0,28.0,41.0,35.0,32.0,16.0,32.0,16.0,43.0,42.0,39.0,18.0,47.0,42.0,40.0,33.0,33.0,26.0,36.0,31.0,42.0,38.0,35.0,29.0,31.0,26.0,36.0,31.0,35.0,33.0,42.0,36.0,35.0,34.0,44.0,36.0,35.0,33.0,36.0,38.0,39.0,43.0
aal_atlas_3,18.0,24.0,29.0,0.0,17.0,24.0,22.0,11.0,19.0,21.0,34.0,24.0,27.0,20.0,24.0,19.0,27.0,29.0,25.0,25.0,24.0,31.0,37.0,10.0,19.0,21.0,25.0,26.0,29.0,21.0,25.0,20.0,27.0,25.0,33.0,32.0,44.0,31.0,44.0,21.0,35.0,26.0,38.0,40.0,35.0,38.0,29.0,39.0,32.0,39.0,27.0,30.0,21.0,29.0,32.0,19.0,21.0,33.0,32.0,27.0,31.0,25.0,27.0,25.0,28.0,23.0,22.0,28.0,27.0,27.0,34.0,42.0,43.0,30.0,32.0,30.0,27.0,32.0,38.0,31.0,35.0,25.0,25.0,26.0,35.0,22.0,21.0,30.0,37.0,21.0,22.0,30.0,21.0,25.0,24.0,37.0,35.0,36.0,34.0,30.0,31.0,25.0,26.0,24.0,24.0,35.0,31.0,30.0,25.0,35.0,43.0,40.0,36.0,39.0,39.0,36.0,36.0
aal_atlas_4,29.0,31.0,24.0,17.0,0.0,29.0,19.0,22.0,12.0,28.0,31.0,29.0,18.0,27.0,19.0,28.0,22.0,34.0,18.0,30.0,17.0,34.0,30.0,17.0,8.0,26.0,22.0,27.0,24.0,32.0,16.0,23.0,14.0,30.0,26.0,37.0,41.0,36.0,41.0,34.0,32.0,29.0,33.0,41.0,34.0,41.0,28.0,42.0,33.0,44.0,24.0,37.0,20.0,36.0,31.0,30.0,24.0,42.0,27.0,34.0,24.0,32.0,20.0,32.0,23.0,32.0,17.0,37.0,28.0,38.0,25.0,39.0,40.0,35.0,21.0,33.0,26.0,39.0,35.0,40.0,24.0,36.0,16.0,37.0,32.0,35.0,16.0,39.0,36.0,34.0,21.0,35.0,24.0,30.0,29.0,38.0,40.0,43.0,33.0,37.0,32.0,30.0,29.0,31.0,31.0,38.0,34.0,29.0,24.0,38.0,40.0,41.0,39.0,44.0,42.0,37.0,37.0
aal_atlas_5,24.0,36.0,41.0,24.0,29.0,0.0,16.0,25.0,31.0,9.0,32.0,28.0,35.0,24.0,36.0,17.0,33.0,37.0,37.0,39.0,32.0,27.0,27.0,26.0,25.0,11.0,17.0,14.0,21.0,27.0,33.0,24.0,27.0,25.0,33.0,30.0,36.0,23.0,36.0,21.0,25.0,26.0,32.0,40.0,41.0,42.0,39.0,39.0,38.0,41.0,37.0,36.0,39.0,33.0,40.0,31.0,29.0,47.0,44.0,41.0,45.0,37.0,43.0,37.0,40.0,31.0,38.0,38.0,35.0,39.0,42.0,34.0,35.0,22.0,34.0,24.0,25.0,30.0,36.0,35.0,39.0,37.0,37.0,28.0,33.0,30.0,37.0,20.0,29.0,27.0,26.0,30.0,29.0,23.0,30.0,31.0,37.0,40.0,36.0,34.0,35.0,21.0,30.0,26.0,24.0,29.0,23.0,30.0,27.0,23.0,39.0,38.0,40.0,41.0,37.0,28.0,26.0
aal_atlas_6,24.0,34.0,35.0,22.0,19.0,16.0,0.0,27.0,23.0,15.0,20.0,32.0,27.0,26.0,26.0,23.0,21.0,37.0,29.0,39.0,26.0,29.0,19.0,24.0,15.0,17.0,7.0,18.0,11.0,31.0,29.0,22.0,15.0,29.0,29.0,32.0,32.0,29.0,36.0,25.0,25.0,30.0,28.0,42.0,37.0,44.0,35.0,43.0,36.0,45.0,31.0,40.0,29.0,39.0,34.0,33.0,25.0,43.0,38.0,39.0,39.0,39.0,35.0,39.0,30.0,37.0,30.0,42.0,33.0,41.0,34.0,30.0,31.0,26.0,26.0,24.0,23.0,28.0,28.0,39.0,31.0,39.0,31.0,36.0,27.0,36.0,31.0,26.0,21.0,33.0,22.0,30.0,25.0,23.0,28.0,29.0,37.0,40.0,36.0,36.0,33.0,21.0,28.0,24.0,26.0,25.0,23.0,26.0,23.0,23.0,35.0,38.0,38.0,41.0,37.0,26.0,24.0
aal_atlas_7,21.0,19.0,32.0,11.0,22.0,25.0,27.0,0.0,26.0,20.0,41.0,19.0,34.0,13.0,31.0,18.0,34.0,26.0,32.0,24.0,25.0,36.0,42.0,17.0,24.0,28.0,30.0,31.0,32.0,18.0,32.0,27.0,30.0,30.0,38.0,35.0,47.0,32.0,45.0,24.0,38.0,29.0,41.0,37.0,38.0,35.0,28.0,36.0,35.0,34.0,28.0,27.0,30.0,26.0,33.0,24.0,24.0,28.0,33.0,30.0,32.0,24.0,30.0,24.0,35.0,24.0,29.0,29.0,30.0,28.0,37.0,47.0,48.0,27.0,35.0,31.0,30.0,37.0,45.0,26.0,40.0,24.0,30.0,27.0,40.0,23.0,28.0,33.0,42.0,24.0,27.0,31.0,24.0,28.0,27.0,38.0,34.0,35.0,33.0,29.0,28.0,28.0,29.0,27.0,25.0,36.0,34.0,31.0,28.0,36.0,44.0,37.0,33.0,36.0,36.0,37.0,37.0
aal_atlas_8,27.0,35.0,18.0,19.0,12.0,31.0,23.0,26.0,0.0,28.0,27.0,31.0,8.0,29.0,7.0,28.0,14.0,34.0,10.0,34.0,25.0,36.0,28.0,19.0,12.0,26.0,26.0,27.0,30.0,32.0,10.0,19.0,22.0,28.0,24.0,35.0,37.0,36.0,35.0,30.0,30.0,29.0,27.0,37.0,32.0,41.0,26.0,40.0,27.0,42.0,20.0,37.0,16.0,36.0,27.0,28.0,20.0,44.0,21.0,34.0,26.0,34.0,20.0,34.0,15.0,30.0,15.0,37.0,22.0,42.0,29.0,39.0,36.0,33.0,15.0,31.0,18.0,33.0,29.0,38.0,20.0,34.0,16.0,35.0,30.0,33.0,12.0,37.0,34.0,32.0,19.0,31.0,20.0,30.0,25.0,36.0,36.0,39.0,31.0,33.0,26.0,28.0,25.0,31.0,29.0,34.0,30.0,27.0,26.0,36.0,40.0,37.0,35.0,40.0,40.0,35.0,35.0
aal_atlas_9,23.0,29.0,36.0,21.0,28.0,9.0,15.0,20.0,28.0,0.0,27.0,25.0,32.0,19.0,31.0,14.0,28.0,32.0,32.0,36.0,31.0,32.0,30.0,25.0,24.0,18.0,18.0,23.0,22.0,24.0,30.0,23.0,24.0,28.0,34.0,33.0,37.0,26.0,37.0,22.0,32.0,31.0,33.0,39.0,40.0,37.0,36.0,38.0,39.0,36.0,32.0,33.0,34.0,30.0,37.0,30.0,30.0,40.0,39.0,38.0,40.0,36.0,38.0,36.0,35.0,30.0,33.0,37.0,36.0,34.0,41.0,33.0,34.0,23.0,33.0,25.0,26.0,27.0,35.0,32.0,36.0,34.0,36.0,27.0,30.0,29.0,34.0,23.0,28.0,28.0,29.0,29.0,24.0,24.0,27.0,32.0,36.0,39.0,35.0,31.0,30.0,22.0,29.0,25.0,25.0,26.0,22.0,25.0,24.0,26.0,38.0,35.0,33.0,34.0,34.0,29.0,27.0
aal_atlas_10,32.0,44.0,35.0,34.0,31.0,32.0,20.0,41.0,27.0,27.0,0.0,42.0,25.0,36.0,24.0,35.0,21.0,43.0,27.0,49.0,40.0,33.0,15.0,38.0,33.0,27.0,25.0,28.0,21.0,41.0,27.0,26.0,21.0,39.0,27.0,40.0,24.0,33.0,24.0,33.0,25.0,38.0,22.0,48.0,35.0,50.0,39.0,49.0,40.0,49.0,33.0,46.0,29.0,43.0,38.0,41.0,31.0,49.0,36.0,47.0,37.0,49.0,33.0,45.0,24.0,45.0,26.0,48.0,41.0,51.0,48.0,16.0,13.0,36.0,30.0,30.0,27.0,26.0,16.0,45.0,27.0,47.0,27.0,40.0,23.0,44.0,27.0,30.0,11.0,41.0,30.0,36.0,33.0,29.0,30.0,33.0,43.0,46.0,46.0,42.0,41.0,25.0,30.0,30.0,34.0,27.0,33.0,26.0,27.0,29.0,35.0,44.0,44.0,43.0,39.0,34.0,28.0
aal_atlas_11,20.0,18.0,31.0,24.0,29.0,28.0,32.0,19.0,31.0,25.0,42.0,0.0,31.0,10.0,30.0,19.0,33.0,17.0,31.0,31.0,30.0,39.0,45.0,24.0,27.0,33.0,35.0,36.0,41.0,7.0,29.0,28.0,37.0,31.0,41.0,36.0,48.0,39.0,48.0,31.0,41.0,30.0,42.0,32.0,39.0,32.0,31.0,33.0,36.0,31.0,31.0,26.0,33.0,23.0,34.0,25.0,31.0,27.0,34.0,33.0,37.0,25.0,35.0,23.0,32.0,29.0,32.0,32.0,33.0,33.0,38.0,44.0,45.0,28.0,40.0,38.0,37.0,38.0,40.0,23.0,41.0,21.0,29.0,26.0,39.0,26.0,31.0,30.0,43.0,27.0,34.0,22.0,23.0,23.0,22.0,39.0,33.0,32.0,26.0,26.0,27.0,27.0,24.0,26.0,20.0,39.0,29.0,34.0,31.0,39.0,37.0,32.0,32.0,29.0,33.0,36.0,40.0
aal_atlas_12,31.0,37.0,18.0,27.0,18.0,35.0,27.0,34.0,8.0,32.0,25.0,31.0,0.0,33.0,5.0,30.0,14.0,36.0,6.0,38.0,27.0,36.0,28.0,25.0,18.0,30.0,32.0,29.0,34.0,32.0,6.0,25.0,26.0,32.0,28.0,37.0,37.0,36.0,33.0,32.0,30.0,31.0,27.0,37.0,30.0,43.0,30.0,40.0,29.0,40.0,20.0,37.0,18.0,36.0,25.0,32.0,24.0,44.0,21.0,34.0,26.0,36.0,22.0,36.0,13.0,34.0,17.0,39.0,30.0,44.0,33.0,37.0,34.0,39.0,21.0,37.0,22.0,37.0,27.0,38.0,14.0,36.0,10.0,35.0,30.0,37.0,12.0,39.0,34.0,36.0,23.0,35.0,26.0,34.0,27.0,36.0,36.0,39.0,33.0,35.0,32.0,32.0,27.0,35.0,33.0,38.0,32.0,25.0,26.0,36.0,34.0,37.0,39.0,42.0,42.0,37.0,39.0
aal_atlas_13,20.0,22.0,35.0,20.0,27.0,24.0,26.0,13.0,29.0,19.0,36.0,10.0,33.0,0.0,28.0,13.0,31.0,21.0,31.0,33.0,32.0,39.0,41.0,24.0,23.0,29.0,31.0,32.0,35.0,11.0,31.0,28.0,33.0,31.0,41.0,36.0,46.0,33.0,46.0,25.0,39.0,30.0,42.0,38.0,39.0,38.0,33.0,37.0,40.0,37.0,33.0,32.0,33.0,27.0,38.0,27.0,29.0,31.0,38.0,37.0,39.0,31.0,35.0,27.0,32.0,31.0,32.0,34.0,35.0,35.0,44.0,42.0,43.0,24.0,40.0,32.0,35.0,36.0,42.0,27.0,41.0,25.0,31.0,24.0,39.0,26.0,31.0,26.0,39.0,25.0,32.0,26.0,25.0,23.0,26.0,35.0,35.0,36.0,32.0,28.0,31.0,23.0,26.0,24.0,22.0,33.0,31.0,32.0,31.0,33.0,39.0,36.0,34.0,31.0,31.0,34.0,34.0
aal_atlas_14,28.0,36.0,17.0,24.0,19.0,36.0,26.0,31.0,7.0,31.0,24.0,30.0,5.0,28.0,0.0,31.0,11.0,33.0,9.0,37.0,28.0,39.0,31.0,26.0,17.0,31.0,31.0,32.0,35.0,31.0,11.0,26.0,27.0,35.0,31.0,40.0,40.0,39.0,36.0,31.0,31.0,30.0,28.0,38.0,31.0,42.0,29.0,41.0,28.0,39.0,19.0,36.0,17.0,35.0,26.0,31.0,23.0,43.0,20.0,35.0,27.0,37.0,21.0,35.0,12.0,33.0,16.0,40.0,27.0,43.0,34.0,36.0,33.0,38.0,20.0,36.0,23.0,36.0,28.0,39.0,17.0,37.0,13.0,36.0,31.0,36.0,13.0,34.0,31.0,35.0,22.0,32.0,23.0,31.0,24.0,37.0,39.0,40.0,34.0,34.0,29.0,29.0,24.0,32.0,32.0,37.0,35.0,28.0,29.0,37.0,39.0,40.0,38.0,39.0,39.0,36.0,38.0
aal_atlas_15,21.0,31.0,38.0,19.0,28.0,17.0,23.0,18.0,28.0,14.0,35.0,19.0,30.0,13.0,31.0,0.0,30.0,30.0,32.0,36.0,33.0,28.0,36.0,21.0,24.0,22.0,26.0,25.0,30.0,16.0,28.0,23.0,30.0,26.0,34.0,31.0,39.0,26.0,41.0,18.0,36.0,27.0,39.0,39.0,38.0,41.0,34.0,38.0,39.0,38.0,34.0,31.0,34.0,28.0,39.0,26.0,30.0,40.0,41.0,38.0,42.0,34.0,40.0,34.0,37.0,28.0,35.0,33.0,34.0,36.0,43.0,41.0,42.0,25.0,37.0,29.0,30.0,33.0,39.0,30.0,38.0,28.0,34.0,19.0,38.0,25.0,32.0,25.0,38.0,24.0,31.0,29.0,26.0,24.0,29.0,34.0,32.0,37.0,33.0,29.0,34.0,22.0,29.0,25.0,23.0,32.0,28.0,29.0,26.0,30.0,38.0,35.0,37.0,36.0,36.0,35.0,33.0
aal_atlas_16,25.0,39.0,26.0,27.0,22.0,33.0,21.0,34.0,14.0,28.0,21.0,33.0,14.0,31.0,11.0,30.0,0.0,36.0,16.0,42.0,33.0,30.0,24.0,29.0,20.0,26.0,26.0,27.0,24.0,34.0,16.0,21.0,22.0,38.0,28.0,39.0,37.0,34.0,33.0,28.0,24.0,29.0,23.0,45.0,36.0,47.0,34.0,46.0,35.0,44.0,26.0,39.0,20.0,40.0,31.0,36.0,24.0,46.0,29.0,40.0,32.0,42.0,26.0,40.0,19.0,38.0,21.0,45.0,32.0,48.0,39.0,29.0,28.0,33.0,19.0,29.0,22.0,29.0,23.0,42.0,22.0,40.0,20.0,35.0,22.0,39.0,20.0,33.0,24.0,34.0,23.0,33.0,26.0,30.0,27.0,34.0,36.0,41.0,37.0,37.0,34.0,28.0,27.0,31.0,35.0,32.0,30.0,27.0,26.0,32.0,38.0,39.0,41.0,40.0,36.0,33.0,33.0
aal_atlas_17,31.0,17.0,28.0,29.0,34.0,37.0,37.0,26.0,34.0,32.0,43.0,17.0,36.0,21.0,33.0,30.0,36.0,0.0,34.0,20.0,27.0,46.0,48.0,25.0,32.0,40.0,40.0,41.0,42.0,18.0,34.0,35.0,42.0,30.0,44.0,35.0,51.0,44.0,53.0,36.0,46.0,29.0,47.0,29.0,34.0,25.0,26.0,28.0,33.0,22.0,28.0,19.0,32.0,20.0,33.0,30.0,34.0,18.0,29.0,24.0,30.0,20.0,32.0,18.0,31.0,24.0,33.0,25.0,30.0,26.0,35.0,43.0,46.0,37.0,45.0,43.0,44.0,41.0,45.0,12.0,32.0,14.0,34.0,29.0,40.0,31.0,36.0,37.0,44.0,32.0,41.0,27.0,26.0,32.0,27.0,36.0,30.0,29.0,29.0,23.0,28.0,32.0,29.0,33.0,29.0,38.0,30.0,37.0,36.0,38.0,34.0,31.0,29.0,24.0,28.0,33.0,39.0
aal_atlas_18,29.0,35.0,14.0,25.0,18.0,37.0,29.0,32.0,10.0,32.0,27.0,31.0,6.0,31.0,9.0,32.0,16.0,34.0,0.0,36.0,23.0,38.0,32.0,25.0,18.0,32.0,34.0,33.0,36.0,32.0,6.0,27.0,26.0,32.0,26.0,37.0,39.0,40.0,37.0,36.0,34.0,35.0,29.0,39.0,32.0,43.0,28.0,42.0,31.0,42.0,18.0,37.0,16.0,38.0,25.0,34.0,26.0,42.0,17.0,36.0,22.0,38.0,16.0,38.0,7.0,36.0,15.0,39.0,28.0,42.0,31.0,39.0,36.0,39.0,19.0,37.0,22.0,37.0,29.0,38.0,12.0,36.0,10.0,37.0,32.0,37.0,12.0,41.0,36.0,36.0,29.0,35.0,24.0,34.0,29.0,38.0,36.0,39.0,33.0,35.0,30.0,34.0,27.0,35.0,33.0,40.0,34.0,27.0,26.0,40.0,36.0,37.0,37.0,40.0,40.0,39.0,41.0
aal_atlas_19,37.0,19.0,24.0,25.0,30.0,39.0,39.0,24.0,34.0,36.0,49.0,31.0,38.0,33.0,37.0,36.0,42.0,20.0,36.0,0.0,21.0,46.0,52.0,19.0,32.0,38.0,40.0,41.0,42.0,30.0,36.0,37.0,40.0,24.0,42.0,35.0,51.0,44.0,55.0,40.0,48.0,33.0,51.0,25.0,34.0,25.0,24.0,24.0,31.0,26.0,24.0,23.0,30.0,26.0,31.0,32.0,34.0,20.0,23.0,20.0,22.0,18.0,28.0,24.0,37.0,26.0,33.0,13.0,26.0,10.0,23.0,53.0,54.0,43.0,43.0,41.0,42.0,43.0,51.0,24.0,34.0,26.0,34.0,39.0,44.0,33.0,34.0,47.0,50.0,36.0,39.0,37.0,30.0,38.0,35.0,44.0,38.0,33.0,31.0,27.0,32.0,40.0,37.0,39.0,37.0,44.0,38.0,41.0,42.0,46.0,42.0,35.0,31.0,32.0,40.0,41.0,45.0
aal_atlas_20,30.0,22.0,19.0,24.0,17.0,32.0,26.0,25.0,25.0,31.0,40.0,30.0,27.0,32.0,28.0,33.0,33.0,27.0,23.0,21.0,0.0,41.0,37.0,22.0,15.0,33.0,27.0,34.0,29.0,31.0,23.0,34.0,25.0,29.0,33.0,32.0,46.0,39.0,46.0,37.0,39.0,34.0,42.0,28.0,31.0,28.0,19.0,29.0,26.0,33.0,13.0,28.0,19.0,29.0,22.0,31.0,25.0,31.0,18.0,27.0,15.0,29.0,19.0,29.0,24.0,27.0,20.0,26.0,19.0,25.0,14.0,46.0,47.0,40.0,32.0,38.0,33.0,44.0,44.0,33.0,25.0,29.0,23.0,42.0,37.0,34.0,23.0,44.0,41.0,39.0,30.0,30.0,23.0,31.0,28.0,39.0,35.0,32.0,24.0,28.0,25.0,35.0,30.0,34.0,32.0,41.0,35.0,32.0,31.0,41.0,37.0,32.0,28.0,33.0,35.0,38.0,42.0
